globalFrame,animation,localFrame,sourceFrame,sourcePiskel,reviewFramePng,exactDuplicateOfGlobal,exactDuplicateOfLocal,adjacentMeanDiffFromPrevious
208,leans-against-wall,0,sprites/character/character-v8/runtime/leans-against-wall-cleaned-frames/frame-000.png,sprites/character/character-v8/piskel/leans-against-wall.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/leans-against-wall/frames/frame-000.png,,,
209,leans-against-wall,1,sprites/character/character-v8/runtime/leans-against-wall-cleaned-frames/frame-001.png,sprites/character/character-v8/piskel/leans-against-wall.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/leans-against-wall/frames/frame-001.png,,,21.0256
210,leans-against-wall,2,sprites/character/character-v8/runtime/leans-against-wall-cleaned-frames/frame-002.png,sprites/character/character-v8/piskel/leans-against-wall.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/leans-against-wall/frames/frame-002.png,,,14.3561
211,leans-against-wall,3,sprites/character/character-v8/runtime/leans-against-wall-cleaned-frames/frame-003.png,sprites/character/character-v8/piskel/leans-against-wall.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/leans-against-wall/frames/frame-003.png,,,12.6539
