globalFrame,animation,localFrame,sourceFrame,sourcePiskel,reviewFramePng,exactDuplicateOfGlobal,exactDuplicateOfLocal,adjacentMeanDiffFromPrevious
152,dig-down,0,sprites/character/character-v8/runtime/dig-down-cleaned-frames/frame-000.png,sprites/character/character-v8/piskel/dig-down.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-down/frames/frame-000.png,,,
153,dig-down,1,sprites/character/character-v8/runtime/dig-down-cleaned-frames/frame-001.png,sprites/character/character-v8/piskel/dig-down.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-down/frames/frame-001.png,,,18.3386
154,dig-down,2,sprites/character/character-v8/runtime/dig-down-cleaned-frames/frame-002.png,sprites/character/character-v8/piskel/dig-down.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-down/frames/frame-002.png,,,9.6824
155,dig-down,3,sprites/character/character-v8/runtime/dig-down-cleaned-frames/frame-003.png,sprites/character/character-v8/piskel/dig-down.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-down/frames/frame-003.png,,,36.8836
156,dig-down,4,sprites/character/character-v8/runtime/dig-down-cleaned-frames/frame-004.png,sprites/character/character-v8/piskel/dig-down.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-down/frames/frame-004.png,,,31.9729
