FILENAME,LIBRARY NAME,SUPPLIER,URL
AMBWar_Paintball Match Firefight Shots Walla Nearfield Full 05_ESM_CPS.wav,Public Spaces - Crowds Walla and Everyday Ambiences,Epic Stock Media,https://sonniss.com/sound-effects/public-spaces-crowds-walla-and-everyday-ambiences/
CRWDChld_Walla Children Kids Daytime School Playing Laughing Playground 01_ESM_CPS.wav,Public Spaces - Crowds Walla and Everyday Ambiences,Epic Stock Media,https://sonniss.com/sound-effects/public-spaces-crowds-walla-and-everyday-ambiences/
AMBPark_Berlin City Humboldthain Park Strong Wind On Trees Foliage Traffic Wash 03_ESM_CPS.wav,Public Spaces - Storms Lakes Parks and Rural Nature Exteriors,Epic Stock Media,https://sonniss.com/sound-effects/public-spaces-storms-lakes-parks-and-rural-nature-exteriors/
STORM_Texas Rain Thunder Initial Crash Boom Storm 01 Clap Lightning_ESM_CPS.wav,Public Spaces - Storms Lakes Parks and Rural Nature Exteriors,Epic Stock Media,https://sonniss.com/sound-effects/public-spaces-storms-lakes-parks-and-rural-nature-exteriors/
WATRLap_Summer Tennessee Lake Dock Water Ripples Wake Wave Gentle 05 Distant_ESM_CPS.wav,Public Spaces - Storms Lakes Parks and Rural Nature Exteriors,Epic Stock Media,https://sonniss.com/sound-effects/public-spaces-storms-lakes-parks-and-rural-nature-exteriors/
AMBCnst_Baltimore Construction Streetside Heavy Machinery And Jakchammers 01_ESM_CPS.wav,Public Spaces - Urban Life Exteriors,Epic Stock Media,https://sonniss.com/sound-effects/public-spaces-urban-life-exteriors/
AMBTown_City Courtyard Calm Street Distant Traffic Children Playing 03_ESM_CPS.wav,Public Spaces - Urban Life Exteriors,Epic Stock Media,https://sonniss.com/sound-effects/public-spaces-urban-life-exteriors/
AMBUrbn_City Nightlife Ext Street In Reutersplatz German Walla Traffic 01_ESM_CPS.wav,Public Spaces - Urban Life Exteriors,Epic Stock Media,https://sonniss.com/sound-effects/public-spaces-urban-life-exteriors/
VOXFutz_Announcer Vocal Male Wet Countdown Ten Kills Remaining 03_ESM_SGAV.wav,Shooter Game Announcer Voice,Epic Stock Media,https://sonniss.com/sound-effects/shooter-game-announcer-voice/
VOXFutz_Announcer Vocal Male Wet Special Kill Laugh Monster Kill Hahaha 02_ESM_SGAV.wav,Shooter Game Announcer Voice,Epic Stock Media,https://sonniss.com/sound-effects/shooter-game-announcer-voice/
VOXMale_Announcer Vocal Male Dry Game Statement Objective Completed 04_ESM_SGAV.wav,Shooter Game Announcer Voice,Epic Stock Media,https://sonniss.com/sound-effects/shooter-game-announcer-voice/
VOXMale_Announcer Vocal Male Dry Special Kill Headshot 01_ESM_SGAV.wav,Shooter Game Announcer Voice,Epic Stock Media,https://sonniss.com/sound-effects/shooter-game-announcer-voice/
AMBRoom_Factory Loop Heavy Machinery Tonal Roomtone Dark Wind Vent_ESM_SGA3.wav,Strange Game Ambient Loops 3,Epic Stock Media,https://sonniss.com/sound-effects/strange-game-ambient-loops-3/
DSGNSynth_Dark Loop Mystic Forest Tonal Steady Synth_ESM_SGA3.wav,Strange Game Ambient Loops 3,Epic Stock Media,https://sonniss.com/sound-effects/strange-game-ambient-loops-3/
DSGNSynth_Scifi Loop Ship Reactor Synth Layer Layered Saw Buzz_ESM_SGA3.wav,Strange Game Ambient Loops 3,Epic Stock Media,https://sonniss.com/sound-effects/strange-game-ambient-loops-3/
MAGShim_Shimmer Loop Small Bell Metal Taps_ESM_SGA3.wav,Strange Game Ambient Loops 3,Epic Stock Media,https://sonniss.com/sound-effects/strange-game-ambient-loops-3/
AMBTrop_Loop Ambience Jungle Night Humid Birds Bug Chirps 01_ESM_SNLS.wav,Synthesized Nature Loops and Sounds,Epic Stock Media,https://sonniss.com/sound-effects/synthesized-nature-loops-and-sounds/
ANMLAmph_Animal Frog Echo Short Squished Frequency Formant 03_ESM_SNLS.wav,Synthesized Nature Loops and Sounds,Epic Stock Media,https://sonniss.com/sound-effects/synthesized-nature-loops-and-sounds/
FIREBurn_Loop Elements Fire Crackling Crunchy Flame Burn 03_ESM_SNLS.wav,Synthesized Nature Loops and Sounds,Epic Stock Media,https://sonniss.com/sound-effects/synthesized-nature-loops-and-sounds/
WINDInt_Loop Weather Wind Whipping Constricted Flow Turbulent 01_ESM_SNLS.wav,Synthesized Nature Loops and Sounds,Epic Stock Media,https://sonniss.com/sound-effects/synthesized-nature-loops-and-sounds/
DSGNStngr_Action Deploy Units Sword Slice Special Move Layered Swish 04_ESM_TDG.wav,Tower Defense Game,Epic Stock Media,https://sonniss.com/sound-effects/tower-defense-game/
ICEBrk_Skill Freeze Whoosh Break Impact Layered Movement Shatter 03_ESM_TDG.wav,Tower Defense Game,Epic Stock Media,https://sonniss.com/sound-effects/tower-defense-game/
ROBTMvmt_Tower Deploy Hitech Robot Motor Dark Thump Servo Whine 04_ESM_TDG.wav,Tower Defense Game,Epic Stock Media,https://sonniss.com/sound-effects/tower-defense-game/
WOODImpt_Hit Blood Spill Splat Wood Impact Light Hit Squelch Small Thump 03_ESM_TDG.wav,Tower Defense Game,Epic Stock Media,https://sonniss.com/sound-effects/tower-defense-game/
