globalFrame,animation,localFrame,sourceFrame,sourcePiskel,reviewFramePng,exactDuplicateOfGlobal,exactDuplicateOfLocal,adjacentMeanDiffFromPrevious
212,falling-downward-through-sky,0,sprites/character/character-v8/runtime/falling-downward-through-sky-cleaned-frames/frame-000.png,sprites/character/character-v8/piskel/falling-downward-through-sky.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/falling-downward-through-sky/frames/frame-000.png,,,
213,falling-downward-through-sky,1,sprites/character/character-v8/runtime/falling-downward-through-sky-cleaned-frames/frame-001.png,sprites/character/character-v8/piskel/falling-downward-through-sky.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/falling-downward-through-sky/frames/frame-001.png,,,22.2202
214,falling-downward-through-sky,2,sprites/character/character-v8/runtime/falling-downward-through-sky-cleaned-frames/frame-002.png,sprites/character/character-v8/piskel/falling-downward-through-sky.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/falling-downward-through-sky/frames/frame-002.png,,,14.2934
215,falling-downward-through-sky,3,sprites/character/character-v8/runtime/falling-downward-through-sky-cleaned-frames/frame-003.png,sprites/character/character-v8/piskel/falling-downward-through-sky.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/falling-downward-through-sky/frames/frame-003.png,,,12.4739
216,falling-downward-through-sky,4,sprites/character/character-v8/runtime/falling-downward-through-sky-cleaned-frames/frame-004.png,sprites/character/character-v8/piskel/falling-downward-through-sky.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/falling-downward-through-sky/frames/frame-004.png,,,18.4623
217,falling-downward-through-sky,5,sprites/character/character-v8/runtime/falling-downward-through-sky-cleaned-frames/frame-005.png,sprites/character/character-v8/piskel/falling-downward-through-sky.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/falling-downward-through-sky/frames/frame-005.png,,,20.3796
218,falling-downward-through-sky,6,sprites/character/character-v8/runtime/falling-downward-through-sky-cleaned-frames/frame-006.png,sprites/character/character-v8/piskel/falling-downward-through-sky.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/falling-downward-through-sky/frames/frame-006.png,,,14.7204
