globalFrame,animation,localFrame,sourceFrame,sourcePiskel,reviewFramePng,exactDuplicateOfGlobal,exactDuplicateOfLocal,adjacentMeanDiffFromPrevious
157,duck-downwards,0,sprites/character/character-v8/runtime/duck-downwards-cleaned-frames/frame-000.png,sprites/character/character-v8/piskel/duck-downwards.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/duck-downwards/frames/frame-000.png,,,
158,duck-downwards,1,sprites/character/character-v8/runtime/duck-downwards-cleaned-frames/frame-001.png,sprites/character/character-v8/piskel/duck-downwards.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/duck-downwards/frames/frame-001.png,,,13.3697
159,duck-downwards,2,sprites/character/character-v8/runtime/duck-downwards-cleaned-frames/frame-002.png,sprites/character/character-v8/piskel/duck-downwards.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/duck-downwards/frames/frame-002.png,,,14.3197
160,duck-downwards,3,sprites/character/character-v8/runtime/duck-downwards-cleaned-frames/frame-003.png,sprites/character/character-v8/piskel/duck-downwards.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/duck-downwards/frames/frame-003.png,,,10.8963
