globalFrame,animation,localFrame,sourceFrame,sourcePiskel,reviewFramePng,exactDuplicateOfGlobal,exactDuplicateOfLocal,adjacentMeanDiffFromPrevious
179,combat-idle-to-normal-idle,18,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-018.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-018.png,,,4.4505
180,combat-idle-to-normal-idle,19,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-019.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-019.png,,,2.7052
181,combat-idle-to-normal-idle,20,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-020.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-020.png,,,5.8033
182,combat-idle-to-normal-idle,21,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-021.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-021.png,,,5.0771
183,combat-idle-to-normal-idle,22,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-022.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-022.png,,,3.1213
184,combat-idle-to-normal-idle,23,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-023.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-023.png,,,7.4193
185,combat-idle-to-normal-idle,24,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-024.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-024.png,,,6.51
186,combat-idle-to-normal-idle,25,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-025.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-025.png,,,2.2544
187,combat-idle-to-normal-idle,26,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-026.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-026.png,,,7.37
188,combat-idle-to-normal-idle,27,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-027.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-027.png,,,3.4822
